SNOMED code	term	Usage_19_20	Rate10000_19_20	Usage_20_21	Rate10000_20_21								
15188001	Deafness	315770.00	53.80735838	304620	50.67087173								
162340000	Hearing difficulty	174210.00	29.68546696	167520	27.86548628								
300228004	Hearing problem	118890.00	20.25891262	75780	12.60533996								
60700002	Sensorineural hearing loss	49090.00	8.364959378	47150	7.842989961								
194424005	"Sensorineural hearing loss, bilateral"	26480.00	4.51220461	22630	3.764302499								
44057004	O/E - conductive deafness	25650.00	4.370772215	23170	3.854126774								
272033007	Deafness symptom	20000.00	3.408009524	22540	3.749331786								
183125006	Ear fitting hearing aid (physical object)	19830.00	3.379041443	25250	4.200116575								
25906001	Other external ear anomaly with hearing impairment	19680.00	3.353481372	20050	3.335142073								
118230007	Other specified forms of hearing loss	14030.00	2.390718681	15980	2.658133183								
6012004	"Hearing aid, device (physical object)"	12760.00	2.174310077	11500	1.912924381								
314914004	Deteriorating hearing	6050.00	1.030922881	5140	0.854994028								
343087000	Partial deafness	5950.00	1.013882834	4940	0.821725777								
162344009	Bilateral deafness	5860.00	0.998546791	5420	0.901569578								
162342008	Unilateral deafness	4940.00	0.841778353	2980	0.495696927								
860851000000105	Mild sensorineural hearing loss	4920.00	0.838370343	2440	0.405872651								
860801000000109	Moderate sensorineural hearing loss	4130.00	0.703753967	2000	0.332682501								
194417009	"Conductive hearing loss, bilateral"	3290.00	0.560617567	2890	0.480726214
