SnomedCTConceptId	Description	2019-2020	2020-2021
66590003	Alcohol dependence (disorder)	21.45341996	20.35850565
7200002	Alcoholism	16.73503077	16.31807667
75544000	Opioid dependence	17.9261301	15.48637042
191816009	Drug dependence	13.47697366	12.05641384
25702006	Alcohol intoxication (disorder)	9.365210173	9.531353654
266707007	Drug addiction therapy	10.63980574	9.383309941
310653000	Drug addiction therapy - methadone	6.23665743	6.292689507
494041000000102	Seen in substance misuse clinic	11.95870542	5.406090641
15167005	Alcohol abuse (disorder)	4.290683991	3.965575412
231473004	Benzodiazepine dependence	3.805042634	3.827512174
361055000	Misuses drugs	3.644866186	3.599624661
231477003	Heroin dependence	3.965219082	3.396688335
371422002	NA	2.854207977	3.318507948
200031000000103	Drug addiction maintenance therapy - methadone	7.114219882	2.939249896
66214007	Substance abuse	2.552599134	2.764591583
415662004	Substance misuse monitoring	2.859319991	2.711362383
307052004	Illicit drug use	2.106149886	2.205684982
44870007	Misused drugs in past	1.588132438	1.768207493
700187009	Seen in drug misuse clinic	1.840325143	1.530339505
85005007	Cannabis dependence	1.601764476	1.505388317
231478008	Methadone dependence	1.888037277	1.432198167
228366006	Drug misuse behaviour	1.448404048	1.255876441
248021000000105	Current non recreational drug user	1.531900281	1.169378991
372511000000103	Shared care drug misuse treatment	2.462286881	1.164388754
166251000000100	Alcohol misuse enhanced services administration (procedure)	1.913597348	1.132783916
31956009	Cocaine dependence	1.283115586	1.037969403
277031000000109	H/O cannabis misuse	2.216910196	1.019671866
191891003	Nondependent cannabis abuse	1.133163167	0.958125603
268645007	Nondependent alcohol abuse (disorder)	1.122939138	0.954798778
37344009	Cannabis abuse	0.490753372	0.954798778
202991000000100	Heroin misuse	1.884629267	0.948145128
910011000000105	Personal Independence Payment claim form (record artifact)	1.702300757	0.92319394
6525002	Drug addiction	1.129755157	0.914876878
268641003	Cannabis type drug dependence	1.235403453	0.891589103
206121000000104	Drug addiction maintenance therapy - buprenorphine	1.988573558	0.878281803
371435006	History of drug abuse	0.959354681	0.868301328
201381000000109	Urine methadone positive	1.974941519	0.84335014
414283008	Follow up substance misuse assessment	1.020698853	0.826716015
78267003	Cocaine abuse	0.482233348	0.813408715
198861000000103	Substance misuse clinical management plan reviewed	1.842029148	0.788457527
166471000000105	Alcohol misuse enhanced service completed (finding)	1.910189338	0.753525865
415659002	Substance misuse clinical management plan agreed	0.938906624	0.74354539
228388006	Intravenous drug user	0.695233943	0.67035524
913661000000109	Personal Independence Payment (qualifier value)	1.04114691	0.66370159
371772001	Domestic abuse (event)	0.625369748	0.662038177
415658005	Substance misuse behavior (finding)	0.494161381	0.662038177
191829009	Cocaine type drug dependence	0.911642548	0.625443102
176811000000105	Drug misuse enhanced services administration	1.051370938	0.615462627
231474005	Diazepam dependence	0.674785886	0.610472389
201521000000104	Referral to substance misuse service	0.96957871	0.582194377
417284009	Current drug user	0.57595361	0.580530964
413989008	DNA - Did not attend substance misuse clinic	0.86222641	0.563896839
228377000	Smokes drugs	0.507793419	0.548926127
313071005	Counseling for substance abuse (procedure)	0.313536876	0.548926127
762991003	Fagerstrom Test for Nicotine Dependence total score (observable entity)	0.543577519	0.533955414
277061000000104	H/O cocaine misuse	1.313787672	0.515657877
14784000	Opioid-induced organic mental disorder	0.541873514	0.474072564
191483003	Drug psychosis	0.623665743	0.462428676
198021000000102	Buprenorphine maintenance therapy	1.032626886	0.412526301
60112009	Drug addiction counselling	0.518017448	0.407536064
191916008	Nondependent cocaine abuse	0.506089414	0.374267814
205231000000102	Opiate dependence detoxification	0.729314038	0.354306864
202561000000103	On substance misuse programme	0.703753967	0.332682501
277051000000102	H/O crack cocaine misuse	1.196211343	0.329355676
200021000000100	Drug addiction detoxification therapy - methadone	0.921866576	0.304404488
247781000000105	Drug abuse monitoring	0.831554324	0.304404488
372501000000100	Seen by counsellor for alcohol misuse (finding)	0.552097543	0.191292438
279441000000100	H/O heroin misuse	0.516313443	0.181311963
