SnomedCTConceptId	Description	2019-2020	2020-2021
394700004	Asthma annual review	862.2587858	831.1939215
366874008	Number of asthma exacerbations in past year	126.7268342	463.4516751
195967001	Airway hyperreactivity	428.0187322	413.5626072
170638008	Asthma not limiting activities	438.9396987	274.9437895
54150009	Upper respiratory infection (disorder)	400.9898087	264.7221197
394703002	Chronic obstructive pulmonary disease annual review	292.0118881	256.2204184
810901000000102	Asthma self-management plan review	97.1470155	236.6104484
170635006	Asthma not disturbing sleep	364.3213302	208.0596361
50417007	Lower respiratory tract infection (disorder)	368.5285179	193.6860887
370208006	Asthma never causes daytime symptoms	306.4260644	180.8212564
928451000000107	Asthma monitoring invitation short message service text message (procedure)	220.9054734	174.5784692
811921000000103	Asthma self-management plan agreed	347.8793882	166.33127
394720003	Asthma medication review	183.1566559	162.9495524
723245007	Number of COPD exacerbations in past year	111.7452243	156.2909122
446660005	Chronic obstructive pulmonary disease assessment test	110.3257883	139.6218554
406162001	Asthma care	198.9953801	130.5279793
527171000000103	Patient has a written asthma personal action plan	76.61375811	121.9647317
185731000	Asthma monitor 1st letter	172.7622268	109.2645772
394701000	Asthma follow-up	106.0112483	103.5208138
401182001	Asthma monitoring by nurse	114.4375518	103.1132778
281794004	Viral upper respiratory tract infection (disorder)	292.4191452	100.5765737
473391009	Asthma never causes night symptoms	119.1917251	94.83281033
708373002	Asthma accident and emergency attendance since last visit	84.46922007	82.8845183
270442000	Asthma monitoring check done	95.2504582	81.69185154
370203002	Asthma causes daytime symptoms 1 to 2 times per week	119.5529741	79.53773234
370202007	Asthma causes daytime symptoms 1 to 2 times per month	131.6088078	75.4623717
401135008	Health education - asthma	62.49267065	70.53035363
370204008	Asthma causes daytime symptoms most days	103.6017855	67.06213855
312453004	Asthma - currently active	36.54919814	52.59710341
959401000000101	Asthma monitoring short message service text message first invitation (procedure)	86.12210469	48.45520627
170636007	Asthma never disturbs sleep	82.07679738	45.01526921
170656008	Asthma sometimes restricts exercise	69.29335366	44.55284054
390891009	Chronic obstructive pulmonary disease monitoring	68.85883244	43.72945135
13645005	CAFL - Chronic airflow limitation	90.01064355	42.76134527
195742007	Acute lower respiratory tract infection (disorder)	91.99751311	41.96956092
373899003	Asthma daytime symptoms	63.34296903	41.46055669
170658009	Asthma never restricts exercise	79.38958187	40.7702405
340901000000107	Asthma trigger - exercise	81.3679314	38.32835094
811961000000106	COPD self-management plan agreed	61.44641173	36.23744142
170637003	Asthma limiting activities	46.03880067	32.89897253
185732007	Asthma monitor 2nd letter	70.10105191	32.62284605
161527007	History of asthma	54.92177749	30.3955367
195647007	Acute respiratory infection (disorder)	32.09833771	29.69191322
708038006	Acute exacerbation of asthma	42.02757346	27.69581821
716241000000106	Chronic obstructive pulmonary disease monitoring 1st letter	87.78180533	27.20344811
195951007	Acute exacerbation of chronic obstructive pulmonary disease	37.55115294	24.72662689
182728008	Asthma control step 2 (procedure)	33.64216602	24.36400296
370205009	Asthma causes night symptoms 1 to 2 times per month	39.37614205	23.30773602
275908000	Asthma monitoring	20.82975421	22.97339011
390921001	Absent from work or school due to asthma	10.02636402	22.16497163
771901000000100	Asthma causes night time symptoms 1 to 2 times per week	66.90093097	22.14002044
736056000	Asthma clinical management plan	25.06420605	22.04520593
128477000	Thorax abscess NOS	21.35117967	20.62964189
170631002	Asthma disturbing sleep	31.18499115	20.27699844
754061000000100	Asthma review using Royal College of Physicians three questions	61.52649995	20.24206677
370226009	Asthma treatment compliance satisfactory	28.60853595	20.22210582
12295008	Bronchiectasis	23.90889082	19.40537028
275498002	Respiratory tract infection (disorder)	36.5321581	19.10429262
390877003	Step up change in asthma management plan	17.37744057	18.92963431
10509002	Acute bronchitis NOS	25.68787179	18.92630748
810951000000101	COPD self-management plan review	33.30818109	18.76828329
401183006	Asthma monitoring by doctor	29.37022608	18.30585462
772011000000107	Asthma limits activities 1 to 2 times per week	45.17146224	17.65546033
313297008	Moderate chronic obstructive pulmonary disease	27.93545407	17.31778759
718241000000107	Issue of chronic obstructive pulmonary disease rescue pack	48.85552054	17.2262999
185736005	Asthma monitor phone invite	28.15697469	17.16475364
182729000	Asthma control step 3 (procedure)	23.32100918	17.0399977
312454005	Asthma - currently dormant	16.79637494	16.49273499
771981000000105	Asthma limits activities 1 to 2 times per month	53.00477213	15.84067729
394702007	COAD follow-up	17.13717589	15.53793621
716491000000100	Excepted from asthma quality indicators: Informed dissent	60.71198567	15.35329742
400987003	Asthma trigger	17.40811265	15.20026347
340891000000106	Asthma trigger - airborne dust	39.94868765	14.63303981
162660004	Asthma resolved	18.60091598	14.45006443
