SNOMED_Concept_ID	Description	Type_imaging	2019-2020	2020-2021
183831007	Refer for ultrasound investigation (procedure)	Ultrasound	189.4870336	230.439188
16310003	Diagnostic ultrasonography (procedure)	Ultrasound	142.8944313	141.6944674
183830008	Refer for X-ray (procedure)	X-ray	118.7367558	124.9289328
74016001	Radiologic examination of knee (procedure)	Other/not specified	91.88504879	92.26450142
77477000	Computerized axial tomography (procedure)	CT scan	81.55025991	79.57599083
113091000	Magnetic resonance imaging (procedure)	MRI	72.60934692	75.04152834
185181002	Seen in radiology department (finding)	Other/not specified	73.40511715	71.85775681
183598009	Refer to Radiology department (procedure)	Other/not specified	70.40266076	68.80872168
268425006	Pelvis X-ray (procedure)	X-ray	54.01354295	56.52109351
2071000000108	X-ray report received (finding)	X-ray	97.28503988	46.99805692
52221007	Radiography of foot (procedure)	Other/not specified	42.17241386	40.23628508
29592009	Radiography of shoulder (procedure)	Other/not specified	37.08084763	37.83598084
168537006	Plain radiography (procedure)	Other/not specified	28.27455102	32.63448994
19490002	Radiography of ankle (procedure)	Other/not specified	30.63800562	32.19368562
408740001	Radiography of hip (procedure)	Other/not specified	30.2716446	30.99602862
49345004	Radiography of hand (procedure)	Other/not specified	29.21856966	30.95777013
185444009	Ultrasound scan report received (finding)	Ultrasound	26.35924967	30.59348279
24601000000109	Radiology request (record artifact)	Other/not specified	33.92843882	26.90736068
90805008	Diagnostic radiography of lumbar spine (procedure)	Other/not specified	27.195916	25.91264
168492000	Radiology/physics - general (situation)	Other/not specified	21.38696377	22.37123478
60027007	Radiography of wrist (procedure)	Other/not specified	20.8979144	22.20822036
312681000	Bone density scan (procedure)	Bone density scan	22.03278158	22.15166433
168495003	Radiographic imaging procedure requested (situation)	Other/not specified	21.85386108	22.03522545
308461008	Referral to radiology service (procedure)	Other/not specified	24.39453218	18.23266447
306299005	Referral to radiologist (procedure)	Other/not specified	9.092569411	18.20937669
66769009	Radiography of cervical spine (procedure)	Other/not specified	17.98065825	17.15144634
401001008	Ultrasound scan requested (situation)	Ultrasound	13.30146117	16.65907624
24611000000106	Radiology result (record artifact)	Other/not specified	29.10099333	14.75114209
168539009	Plain X-ray requested (situation)	X-ray	5.998096763	14.67628853
241686001	Dual energy X-ray absorptiometry (procedure)	Bone density scan	13.94046296	14.30035731
241648005	Magnetic resonance imaging of lumbar spine (procedure)	MRI	13.70701431	13.91111878
419394006	Computed tomography of abdomen and pelvis (procedure)	CT scan	10.89029444	13.81297744
418023006	"Computed tomography of chest, abdomen and pelvis (procedure)"	CT scan	10.91585451	12.61365703
168996007	Miscellaneous imaging procedures (procedure)	Other/not specified	15.41442708	11.87676529
169254007	Ultrasound scan normal (finding)	Ultrasound	10.81531823	11.55073644
371527006	Radiology report (record artifact)	Other/not specified	9.341354106	11.01844443
51110005	Nerve conduction study (procedure)	Nerve conduction	10.44043718	10.66746439
363679005	Imaging (procedure)	Other/not specified	12.07628175	10.40131839
241641004	Magnetic resonance imaging of knee (procedure)	MRI	10.53926945	10.38468427
201971000000106	Referral for bone density scan (procedure)	Bone density scan	23.617506	10.29319658
76913009	Radiography of elbow (procedure)	Other/not specified	10.21891656	10.25992833
241645008	Magnetic resonance imaging of spine (procedure)	MRI	7.780485744	9.799163067
45554006	Radiography of thoracic spine (procedure)	Other/not specified	9.591842807	9.331744153
241453007	Ultrasound scan of neck (procedure)	Ultrasound	7.354484554	9.276851541
1083701000000107	Lumbar spine dual energy X-ray photon absorptiometry scan T score (observable entity)	Bone density scan	10.5188214	9.168729728
60619004	Diagnostic radiography of finger (procedure)	Other/not specified	8.765400497	8.578218289
390983001	Referral for dual energy X-ray photon absorptiometry scan (procedure)	Bone density scan	6.959155449	8.082521362
169082008	Nuclear magnetic resonance normal (finding)	MRI	8.693832297	7.744848624
306142005	Referral to ultrasonography service (procedure)	Ultrasound	7.069915758	7.734868149
391068001	Hip dual energy X-ray photon absorptiometry scan T score (observable entity)	Bone density scan	7.949182216	7.706590136
512481000000100	Referral for nerve conduction studies (procedure)	Nerve conduction	13.08505257	7.402185648
440050006	Femoral neck dual energy X-ray photon absorptiometry scan T score (observable entity)	Bone density scan	6.142937168	6.425762507
241646009	Magnetic resonance imaging of cervical spine (procedure)	MRI	6.086705011	6.174587219
418394000	Ultrasound scan of abdomen and pelvis (procedure)	Ultrasound	5.372727015	6.106387306
241074003	Thumb X-ray (procedure)	X-ray	5.434071187	5.562451417
408493004	Referral for dual energy X-ray photon absorptiometry scan of hip and spine (procedure)	Bone density scan	5.089862225	5.151588528
306144006	Referral to magnetic resonance imaging service (procedure)	MRI	4.113467496	4.253345775
169083003	Magnetic resonance imaging scan abnormal (finding)	MRI	4.277051953	3.967238825
241497006	Ultrasound scan of shoulder joint (procedure)	Ultrasound	3.79652261	3.879077962
5846007	Diagnostic radiography of toes (procedure)	Other/not specified	3.90387491	3.554712523
271310000	Radiology/physics in medicine (procedure)	Other/not specified	6.892699263	3.469878486
22791004	X-ray of lumbosacral spine (procedure)	X-ray	3.287025186	3.423302935
703976001	Private referral to radiologist (procedure)	Other/not specified	2.169198062	3.157156935
79760008	Radiography of spine (procedure)	Other/not specified	3.04846452	3.052361947
268427003	X-ray shaft of tibia/fibula (procedure)	X-ray	2.843983948	2.757937933
1225002	Radiography of humerus (procedure)	Other/not specified	2.634391362	2.719679446
168667009	Plain X-ray knee normal (finding)	X-ray	2.627575343	2.656469771
241514000	Ultrasound scan of soft tissue mass (procedure)	Ultrasound	2.2901824	2.604903983
169255008	Ultrasound scan abnormal (finding)	Ultrasound	2.083997824	2.533377245
241502008	Ultrasound scan of hip (procedure)	Ultrasound	2.467398896	2.440226145
959491000000108	Referral for open magnetic resonance imaging scan (procedure)	MRI	4.37247622	2.411948132
241633004	Magnetic resonance imaging of shoulder (procedure)	MRI	2.152158015	2.39032377
